date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:35	7875/7875	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20Nov%202006%2010:01:22%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/consts5a5a.txt?Type=*&Lang=vb	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/consts5a5a5a5a.txt	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:35	136580/136580	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:22%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content365b.html?Section=m&Code=192	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content365b365b.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:36	137916/137916	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:28%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentd62b.html?Section=m&Code=1	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentd62bd62b.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:37	138021/138021	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:32%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content9274.html?Section=m&Code=44	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content92749274.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:37	136596/136596	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:38%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content02a0.html?Section=m&Code=57	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content02a002a0.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:38	139418/139418	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:44%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content7e21.html?Section=m&Code=22	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content7e217e21.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:39	137619/137619	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:50%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentc1f3.html?Section=m&Code=36	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentc1f3c1f3.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:39	137753/137753	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:54%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentd6d4.html?Section=m&Code=21	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentd6d4d6d4.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:40	137189/137189	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:00%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content17fc.html?Section=m&Code=23	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content17fc17fc.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:41	139423/139423	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:06%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentc231.html?Section=m&Code=24	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentc231c231.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
